id;naam;source;import_source;import_status;status;categorie;doel;trigger;systemen;stappen_count;stappen;webhook_paths;endpoints;gitlab_endpoint_method;gitlab_endpoint_path;gitlab_endpoint_handler;external_id;gitlab_file_path;hubspot_last_run_at;hubspot_run_count_365d;last_synced_at;approved_at;rejected_at;rejection_reason
AUTO-051;HubSpot Deal Builder;gitlab;;approved;Inactief;Backend Script;Dit script haalt productinformatie op van een HubSpot deal en koppelt deze producten aan geschikte pipelines.;Programmatisch aangeroepen;GitLab | HubSpot;5;Haalt alle line-items op die gekoppeld zijn aan een specifieke HubSpot deal. | Haalt productinformatie (naam en prijs) op voor deze line-items van HubSpot. | Vereenvoudigt de productnamen voor betere matching. | Koppelt de vereenvoudigde productnamen aan actieve HubSpot pipelines. | Registreert de gevonden matches tussen producten en pipelines.;;;;;;app/service/operations/deal_builder.py;app/service/operations/deal_builder.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-052;BTW Router Bankkoppeling Update;gitlab;;approved;Inactief;Backend Script;"Dit script routeert btw-deals op basis van deal- en bedrijfseigenschappen en bankkoppelingsstatus in HubSpot, en werkt de dealfase bij.";API endpoint of webhook bij wijziging van HubSpot deal;GitLab | HubSpot;4;Haal de relevante eigenschappen van de deal op uit HubSpot. | Haal de bankkoppelingsstatus en vervaldatum op van het gekoppelde bedrijf in HubSpot. | Evalueer of de bankkoppeling actief of verlopen is aan de hand van kwartaalgevoelige regels. | Werk de dealfase in HubSpot bij op basis van de geëvalueerde bankkoppelingsstatus.;;;;;;app/service/operations/btw_bankconnection.py;app/service/operations/btw_bankconnection.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-053;"Beheer ""Betaalt Niet"" Deals";gitlab;;approved;Inactief;Backend Script;"Dit script beheert de dealstatus in HubSpot voor klanten die niet betalen, door gerelateerde deals te markeren of te resetten.";"API endpoint POST /set-betaalt-niet of POST /reset-betaalt-niet, of webhook";GitLab | HubSpot;4;"Een deal-ID wordt ontvangen om een actie (zetten naar of resetten van ""Betaalt niet"") te initiëren. | De bedrijfs- en contactinformatie, samen met alle gerelateerde deals, worden opgehaald uit HubSpot. | Voor alle gerelateerde deals wordt, afhankelijk van de actie, de dealstage bijgewerkt naar ""Betaalt niet"" (waarbij de vorige stage wordt opgeslagen) of hersteld naar de opgeslagen/bepaalde vorige stage. | De relevante dealproperties in HubSpot worden bijgewerkt voor elke gerelateerde deal.";;;;;;app/service/operations/betaalt_niet.py;app/service/operations/betaalt_niet.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-054;HubSpot Deal Naam Updates;gitlab;;approved;Inactief;Backend Script;Werkt de namen van HubSpot deals bij wanneer de naam van een gekoppeld contact of bedrijf verandert.;Webhook van HubSpot (bij wijziging contact of bedrijf);GitLab | HubSpot | Sentry;4;Het script wordt geactiveerd door een wijziging in een contact- of bedrijfsnaam in HubSpot. | Het script haalt de gerelateerde deals en de nieuwe naam van het contact of bedrijf op uit HubSpot. | De dealnamen worden berekend en bijgewerkt om de nieuwe contact- of bedrijfsnaam te reflecteren. | De bijgewerkte dealnamen worden in batches teruggestuurd naar HubSpot.;;;;;;app/service/operations/deal_updates.py;app/service/operations/deal_updates.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-055;Factuurbeheer en synchronisatie;gitlab;;approved;Inactief;Backend Script;"Dit script faciliteert het zoeken, bijwerken en ophalen van factuurinformatie tussen HubSpot CRM en de Factuursturen API.";Aangeroepen door een extern systeem of handmatig;GitLab | HubSpot | Factuursturen;3;Zoekt facturen en contactpersonen binnen HubSpot CRM. | Werkt bestaande factuurgegevens bij in HubSpot CRM. | Authenticeert en haalt factuurgegevens op uit de Factuursturen API.;;;;;;app/service/operations/facturen.py;app/service/operations/facturen.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-056;Bepaal de juiste dealfase;gitlab;;approved;Inactief;Backend Script;"Dit script bepaalt de correcte fase voor een deal binnen een CRM-systeem, gebaseerd op de pijplijn en diverse deal-, bedrijfs- en contacteigenschappen.";Intern aangeroepen bij een dealwijziging of gepland evenement;GitLab | HubSpot | Intern Boekhoudsysteem;4;"Haal de initiële deal-, bedrijfs- en contactgegevens op. | Evalueer specifieke uitzonderingsregels (bijv. 'Betaalt niet' status). | Identificeer het type pijplijn om de juiste logica te selecteren. | Bereken de uiteindelijke dealfase op basis van relevante eigenschappen.";;;;;;app/service/operations/find_correct_stage.py;app/service/operations/find_correct_stage.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-057;HubSpot BTW Dossier & Deal Update;gitlab;;approved;Inactief;Backend Script;"Dit script haalt bedrijfs- en dealinformatie op en werkt specifieke BTW-deal eigenschappen bij in HubSpot, met logica voor het behandelen van actuele en toekomstige kwartalen.";Aangeroepen door een ander script of service binnen de applicatie.;GitLab | HubSpot | Sentry;6;"Haal de gekoppelde bedrijven bij een dossier op via de HubSpot API. | Haal de gekoppelde deals bij een bedrijf op via de HubSpot API. | Controleer of een BTW-deal zich in een relevante pipeline bevindt voordat deze wordt bijgewerkt. | Haal dealinformatie op en controleer het jaar en kwartaal om te bepalen of een update is toegestaan (huidig of toekomstig kwartaal). | Werk specifieke eigenschappen van BTW-deals bij in HubSpot, indien relevant en indien de waarde verschilt. | Log fouten en uitzonderingen met Sentry.";;;;;;app/service/operations/dossier.py;app/service/operations/dossier.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-058;HubSpot Deal Statusbeheer & VPB Update;gitlab;;approved;Inactief;Backend Script;Dit script beheert HubSpot deals door de juiste stage toe te wijzen en VPB deals bij te werken op basis van wijzigingen in JR deals.;"Webhook van HubSpot bij deal, bedrijf of contact wijzigingen.";GitLab | HubSpot;5;"Haal alle relevante deal-, bedrijfs- en contactgegevens op uit HubSpot. | Bepaal de correcte deal stage voor een HubSpot deal op basis van bestaande gegevens en bedrijfslogica. | Werk de deal stage van de HubSpot deal bij. | Haal gerelateerde VPB deals op wanneer een JR deal wordt bijgewerkt. | Werk de relevante VPB deals bij met de nieuwe informatie.";;;;;;app/service/operations/hubspot.py;app/service/operations/hubspot.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-059;Hulpfuncties voor gegevensverwerking;gitlab;;approved;Inactief;Backend Script;Dit script biedt een verzameling hulpfuncties voor het verwerken en normaliseren van gegevensformaten.;Wordt aangeroepen door andere automatiseringsscripts indien nodig.;GitLab;6;Verdeelt een lijst in kleinere brokken. | Extraheert resultatenlijsten uit API-responses. | Haalt eigenschappen van objecten of dictionaries op. | Haalt de ID van een object of dictionary op. | Parseert verschillende datumformaten naar een datumobject. | Normaliseert kwartaalwaarden uit strings of lijsten.;;;;;;app/service/operations/va_pipelines/utils.py;app/service/operations/va_pipelines/utils.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-060;HubSpot Pijplijn & Workflow Hulpprogramma's;gitlab;;approved;Inactief;Backend Script;"Dit script biedt een verzameling functies om HubSpot pijplijnen en workflows te beheren, doorzoeken en hun labels te verwerken.";Programmatische aanroep van functies;GitLab | HubSpot | Sentry;6;"Maakt gebruik van de HubSpot API om pijplijn- en workflowinformatie op te halen. | Filtert HubSpot pijplijnen op basis van hun status (actief) of specifieke ID's. | Haalt alle workflows op via de HubSpot API, inclusief paginatie. | Reinigt en standaardiseert pijplijnlabels. | Zoekt naar workflows die specifieke pijplijnlabels of trefwoorden bevatten. | Retourneert georganiseerde gegevens over pijplijnen en workflows.";;;;;;app/service/operations/pipelines.py;app/service/operations/pipelines.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-061;VA VPB Kandidaten Analyse;gitlab;;approved;Inactief;Backend Script;Dit script identificeert bedrijven voor een Voorlopige Aanslag Vennootschapsbelasting door VPB-deals en bedrijfsinformatie in HubSpot te analyseren.;Handmatig via commandoregel met jaarparameter;GitLab | HubSpot;4;"Zoek VPB-deals in HubSpot voor een opgegeven jaar en verzamel gekoppelde bedrijven. | Haal aanvullende bedrijfsinformatie op zoals naam, oprichtingsdatum en boekjaarverlenging. | Identificeer bedrijven die al een VPB-deal hadden in het voorgaande jaar. | Controleer welke bedrijven reeds een VA VPB-deal hebben voor het opgegeven jaar.";;;;;;app/service/operations/va_pipelines/va_vpb.py;app/service/operations/va_pipelines/va_vpb.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-062;Voorlopige Aanslag IB Beheer;gitlab;;approved;Inactief;Backend Script;"Dit script identificeert contacten die in aanmerking komen voor een Voorlopige Aanslag Inkomstenbelasting (IB) en creëert of beheert de bijbehorende deals in HubSpot, rekening houdend met de BTW-status.";Handmatig via commandoregel of gepland via een scheduler;GitLab | HubSpot;5;"Laadt bestaande 'Voorlopige Aanslag IB' deals voor het opgegeven jaar uit HubSpot om duplicaten te voorkomen. | Controleert de voltooiingsstatus van de Q4 BTW-aangifte voor de gekoppelde bedrijven in HubSpot. | Identificeert geschikte contacten op basis van bedrijfstype, jaarklantschap en bankkoppelingstatus. | Creëert nieuwe 'Voorlopige Aanslag IB' deals in HubSpot voor contacten die nog geen deal hebben voor het betreffende jaar. | Werkt de deal stage bij in HubSpot op basis van specifieke eigenschappen en voorwaarden.";;;;;;app/service/operations/va_pipelines/va_ib.py;app/service/operations/va_pipelines/va_ib.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-063;Dealbeheer en -updates;gitlab;;approved;Inactief;Backend Script;Dit script consolideert en herexporteert functionaliteit voor het creëren en bijwerken van deals en het beheren van verschillende financiële pijplijnen.;Aangeroepen door interne services;GitLab | CRM-systeem | Boekhoudsysteem;5;"Importeert functies voor het creëren van deals, inclusief retry-mechanismen en pijplijnbeheer. | Importeert functies voor het bijwerken van bestaande deals, zoals stage-controles en bedrijf/contact wijzigingen. | Verzamelt alle relevante dealgerelateerde functionaliteit voor eenvoudige toegang en hergebruik. | Biedt ondersteuning voor de verwerking van btw, maandelijkse en jaarlijkse pijplijnen. | Faciliteert updates van deals bij wijzigingen in bedrijfs- of contactgegevens.";;;;;;app/service/operations/operations.py;app/service/operations/operations.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-064;BTW Toewijzing Propagatie;gitlab;;approved;Inactief;Backend Script;Dit script synchroniseert de controleur en eigenaar van een afgeronde btw-deal naar toekomstige btw-deals van hetzelfde bedrijf.;"Wanneer een BTW-deal in HubSpot de status ""afgerond"" bereikt (waarschijnlijk via een webhook of API aanroep).";GitLab | HubSpot;5;"Haal de details op van de afgeronde btw-deal (bron-deal) inclusief relevante eigenschappen. | Controleer of de bron-deal een geldige btw-deal is met jaar/kwartaal en een toegewezen controleur of eigenaar. | Haal alle gerelateerde deals van hetzelfde bedrijf op uit HubSpot. | Identificeer toekomstige btw-deals (met een later jaar/kwartaal) die nog niet zijn toegewezen of afwijkende waarden hebben. | Werk de ""controleur"" en/of ""hubspot_owner_id"" van de geïdentificeerde toekomstige deals bij met de waarden van de bron-deal.";;;;;;app/service/properties/btw_assignment.py;app/service/properties/btw_assignment.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-065;JR Eigenaren Overzicht voor IB Deals;gitlab;;approved;Inactief;Backend Script;Dit script verzamelt en toont een overzicht van jaarrekeningboekers op gerelateerde IB-dossiers in HubSpot.;Via een ander intern script;GitLab | HubSpot;5;Haal de lijst met toegestane jaarrekeningboekers op uit HubSpot deal properties. | Identificeer het contactpersoon en de bijbehorende bedrijven van het IB-dossier. | Verzamel alle relevante jaarrekeningdossiers gekoppeld aan deze bedrijven voor het opgegeven jaar. | Extraheer de eigenaren van de gevonden jaarrekeningdossiers en valideer ze tegen de toegestane boekers. | Formateer de namen van de gevalideerde eigenaren en werk de 'jr_boekers' property van het IB-dossier bij.;;;;;;app/service/properties/ib_jr_owners.py;app/service/properties/ib_jr_owners.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-066;Jaarrekening Deal Update en Prioriteit Synchronisatie;gitlab;;approved;Inactief;Backend Script;"Dit script beheert de dealstadia en prioriteiten van jaarrekening-deals in HubSpot, gebaseerd op de status van gerelateerde inkomstenbelasting-deals en specifieke eigenschappen.";Webhook/API aanroep bij een update van een Inkomstenbelasting (IB) of Jaarrekening (JR) deal in HubSpot;GitLab | HubSpot;5;"Haal de details op van de Inkomstenbelasting (IB) of Jaarrekening (JR) deal die de trigger heeft geactiveerd, inclusief jaar en relevante status. | Identificeer alle gerelateerde Jaarrekening (JR) deals voor dezelfde contactpersoon en hetzelfde jaar. | Controleer of de dealstage van de gevonden JR-deals moet worden aangepast naar een prioriteitsstage, gebaseerd op de huidige stage en de status van de IB-deal. | Synchroniseer de prioriteitsvlag (hs_priority) van de gerelateerde JR-deals op basis van de 'ib_typeform_ingevuld' eigenschap van de IB-deal. | Voer een specifieke controle uit voor een individuele JR-deal om te bepalen of deze naar een hogere prioriteitsstage moet worden verplaatst als de IB-deal gereed is.";;;;;;app/service/properties/jr_pipeline.py;app/service/properties/jr_pipeline.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-067;HubSpot BTW Deal Updates vanuit Dossierwijzigingen;gitlab;;approved;Inactief;Backend Script;Dit script synchroniseert BTW-gerelateerde dealgegevens in HubSpot op basis van wijzigingen in dossiers en nieuwe associaties.;"Webhook bij wijzigingen in HubSpot dossiers, bedrijf- en dealassociaties.";GitLab | HubSpot;5;"Ontvang een trigger over een wijziging in een HubSpot dossier, bedrijf of deal. | Haal de bijbehorende entiteiten (bedrijven, dossiers, deals) op uit HubSpot. | Extraheer de specifieke eigenschapswaarde uit het dossier. | Identificeer en verzamel alle relevante BTW-deals. | Werk de gevonden BTW-deals bij met de meest recente dossierinformatie.";;;;;;app/service/properties/dossier_to_deal.py;app/service/properties/dossier_to_deal.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-068;IB gereed om te maken statuscontrole;gitlab;;approved;Inactief;Backend Script;Controleert de status van gerelateerde Jaarrekening deals en loonadministratie om te bepalen of een Inkomstenbelasting deal gereed is en werkt een eigenschap in HubSpot bij.;Programmatisch na een update van een Jaarrekening deal in HubSpot.;GitLab | HubSpot;5;"Haal Jaarrekening deal en gekoppelde contacten op uit HubSpot. | Identificeer alle bedrijven die gekoppeld zijn aan de contacten. | Evalueer voor elk bedrijf de status van Jaarrekening- en Loonadministratie deals. | Bepaal op basis van BV/EZ en dealstatus of aan de voorwaarden is voldaan. | Zoek relevante IB deals en update de status ""jaarrekeningen_klaar_om_ib_te_maken"" in HubSpot.";;;;;;app/service/properties/ib_kan_gemaakt_worden.py;app/service/properties/ib_kan_gemaakt_worden.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-069;HubSpot API Rate Limiter;gitlab;;approved;Inactief;Backend Script;"Dit script beheert en limiteert de frequentie van uitgaande API-aanroepen naar HubSpot, inclusief retries en timeout-behandeling, om overschrijding van rate limits te voorkomen.";"Intern; API-aanroepen worden in een wachtrij geplaatst door andere applicatieonderdelen en verwerkt door achtergrondworkers.";GitLab | HubSpot | Sentry;6;Initialiseert asynchrone rate limiters en een wachtrij voor API-aanroepen. | Start meerdere asynchrone workers om API-aanroepen uit de wachtrij te verwerken. | Past per-seconde en per-10-seconden rate limiting toe op uitgaande aanroepen naar HubSpot. | Implementeert automatische retries met exponentiële backoff voor rate limit-fouten (HTTP 429). | Behandelt timeouts van individuele API-aanroepen en plaatst deze tijdelijk in een cooldown-status om herhaalde fouten te voorkomen. | Verzendt timeout-gebeurtenissen naar Sentry voor monitoring.;;;;;;app/service/rate_limiter.py;app/service/rate_limiter.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-070;HubSpot Pijplijn Deal Migratie Helper;gitlab;;approved;Inactief;Backend Script;"Dit script biedt hulpprogramma's voor het voorbereiden van het verplaatsen of kopiëren van HubSpot deals tussen verschillende pijplijnen, met behoud van de dealfase.";Programmatisch aangeroepen door een ander script of service;GitLab | HubSpot;4;"Haalt dealfase ID's en labels op voor een specifieke HubSpot pijplijn. | Zoekt HubSpot deals op basis van pijplijn en dealfase, met paginatie ondersteuning. | Genereert de benodigde invoer voor het in batch verplaatsen van deals naar een nieuwe pijplijn. | Genereert de benodigde invoer voor het in batch kopiëren van deals naar een nieuwe pijplijn, inclusief het aanmaken van unieke namen.";;;;;;app/service/sales/split_pipelines.py;app/service/sales/split_pipelines.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-071;Machtiging Fiscaal Online Actief Status;gitlab;;approved;Inactief;Backend Script;"Dit script berekent en beheert de 'machtiging actief' status van een deal in HubSpot op basis van de fiscale online machtigingsstatus van het contact en eventuele fiscale partner, inclusief historische data.";Verandering in relevante HubSpot eigenschappen (contact of deal).;GitLab | HubSpot;5;"Definieert constanten voor HubSpot eigenschappen die de fiscale machtiging van contacten en partners bijhouden. | Extraheert en valideert de 'actief' status van machtigingen voor een contact en een eventuele partner, rekening houdend met historische wijzigingen voor een specifieke peildatum. | Combineert de actieve statussen van het contact en de partner om een geconsolideerde status te bepalen (bijv. 'Contact actief, geen partner', 'Contact en Partner actief'). | Bepaalt de uiteindelijke waarde voor de 'machtiging actief' eigenschap van een deal op basis van deze geconsolideerde status en beschikbare opties in HubSpot. | Werkt de 'machtiging actief' eigenschap van de relevante deal bij in HubSpot met de berekende status.";;;;;;app/service/properties/machtiging_actief.py;app/service/properties/machtiging_actief.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-072;Type Definities Applicatie;gitlab;;approved;Inactief;Backend Script;Definieert gemeenschappelijke type aliassen die in de applicatie worden gebruikt.;Geen (dit is een definitiebestand);GitLab | HubSpot;3;"Definieert HubSpot-gerelateerde typen zoals HubSpotProperties en HubSpotObject. | Definieert ID-typen voor HubSpot-entiteiten zoals DealId, ContactId, CompanyId, OwnerId, PipelineId, StageId. | Definieert DossierId.";;;;;;app/types.py;app/types.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-073;HubSpot Hulpprogramma Functies;gitlab;;approved;Inactief;Backend Script;Biedt herbruikbare functies voor het verwerken van HubSpot API-responses en data.;"Geen, dit zijn hulpprogrammafuncties die door andere scripts worden aangeroepen.";GitLab | HubSpot;4;Biedt functies voor typeconversie en datumanalyse. | Parseert kwartaal- en dagelijkse tijdswaarden uit strings. | Extraheert eigenschappen en paginatie-informatie uit HubSpot objecten. | Transformeert HubSpot dealgegevens naar een gestandaardiseerd formaat.;;;;;;app/utils.py;app/utils.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-074;Synchronisatie openstaand bedrag;gitlab;;approved;Inactief;Backend Script;Synchroniseert openstaande bedragen van WeFact facturen naar HubSpot bedrijf- en contactrecords.;Dagelijkse geplande taak (cron);GitLab | WeFact | HubSpot;5;Haal openstaande factuurbedragen op per debiteur vanuit WeFact. | Zoek overeenkomstige bedrijven in HubSpot met behulp van de WeFact bedrijfs-ID. | Werk het 'openstaand bedrag' veld bij voor de gevonden bedrijven in HubSpot. | Bereken het totale openstaande bedrag voor contacten die aan deze bedrijven zijn gekoppeld. | Werk het 'totaal openstaand bedrag' veld bij voor de relevante contacten in HubSpot.;;;;;;app/service/wefact/openstaand_bedrag.py;app/service/wefact/openstaand_bedrag.py;;;2026-05-05T08:44:32.673+00:00;;;
